,Jul
1130,19.341689558444035
1131,19.33824126921077
1132,19.341632724542315
1133,18.988595764903724
1134,17.862421980343743
1135,16.209523852342098
1136,15.305589404261335
1137,14.228103228823695
1138,13.609324737607364
1139,11.889619104181657
1140,10.70094509234121
1141,10.116112507949325
1142,9.553592807613967
1143,8.695659806372946
1144,7.319013618330113
1145,6.1443699004369385
1146,5.256366821111523
1147,4.65277201546501
1148,4.417435329767595
1149,4.058307652419818
1150,3.6677509274457236
1151,3.1062810544374067
1152,2.968566191075281
1153,2.9485656001273943
1154,3.0714037722348677
1155,3.0429184761457155
1156,2.8881608216196617
1157,2.680622483811665
1158,2.7336980769454873
1159,2.4729086953218
1160,2.097461865141484
1161,2.1442465964015978
1162,1.918130250827985
1163,2.4762558894013607
1164,2.9072940830210956
1165,4.078553688247568
1166,5.308149094124806
1167,5.45143221203722
1168,4.895798196740989
1169,4.641101642395779
1170,4.631144021878243
1171,4.768453820313749
1172,4.823751003256265
1173,5.124829076291583
1174,4.74475846372133
1175,5.691925773400812
1176,6.5532254242490025
1177,7.265601174111883
1178,7.725492529151639
1179,8.042635506853784
1180,8.428273228280563
1181,8.781671945227503
1182,9.0647545768315
1183,9.326996366062993
1184,9.34382133041428
1185,8.90755892671535
1186,9.56334788087507
1187,9.367142751387824
1188,9.543901885254847
1189,8.776974824750953
1190,8.161602418981047
1191,7.850934622942414
1192,6.254749397332113
1193,5.3454667178477155
1194,4.639465183600289
1195,4.127288077658508
1196,3.860913293530268
1197,3.564257466882558
1198,4.160900491814406
1199,5.153647399986358
1200,5.628072215845373
1201,6.054961958807742
1202,6.238385594906116
1203,6.139653741046659
1204,5.869572202362106
1205,5.740856964401014
1206,5.491587684964856
1207,5.544338403592404
1208,5.1623870430517345
1209,4.176024227223606
1210,6.816944481446804
1211,5.970242283650192
1212,4.655733577114612
1213,2.9618290788153714
1214,2.2632915019553166
1215,2.6328276021738874
1216,2.407313431275131
1217,1.7331956071172148
1218,1.0468732074180729
1219,0.43750323882650966
1220,0.6091550329991154
1221,1.562407806258674
1222,1.9576489381267583
1223,0.943899325686765
