,Jun
998,9.08645732772173
999,7.354890664137641
1000,5.978907429656395
1001,4.4624584206048565
1002,3.328733883804766
1003,2.890678296584342
1004,3.4399672422815373
1005,4.245719825811699
1006,2.788524362429933
1007,2.2394679103953474
1008,3.4584943858675157
1009,6.098708588646885
1010,8.560375855605706
1011,11.009457526203754
1012,12.209583500926726
1013,13.551155846092257
1014,15.34535033834951
1015,15.455041690521515
1016,14.501700141977524
1017,12.883904005705947
1018,11.163080139273498
1019,10.7397156568507
1020,10.479491536438609
1021,9.930784014997824
1022,9.252583498100474
1023,8.804102060548328
1024,8.431300486882895
1025,8.113145271371902
1026,8.193798780486086
1027,8.195482082899886
1028,8.350167632171551
1029,8.027593626369214
1030,6.748433402257302
1031,7.8356105436251635
1032,6.287843098248571
1033,5.529297721996104
1034,5.959935651943758
1035,6.901113686120875
1036,7.953102903432902
1037,8.384722084673454
1038,7.934189102427904
1039,8.106999109059165
1040,8.9327239394851
1041,10.014498177345626
1042,9.424886293818176
1043,9.211596535042377
1044,9.194923128404692
1045,9.294744697896885
1046,9.80652165247233
1047,10.169032009089015
1048,9.501955752857054
1049,8.367610754783554
1050,8.197714801255845
1051,7.917836357084537
1052,8.245793247581007
1053,8.293109655696668
1054,7.642906795668687
1055,6.684353635314115
1056,6.479365716801609
1057,7.4864506115997544
1058,9.124761552382104
1059,9.824772335494657
1060,10.219287667262602
1061,10.939101168222194
1062,11.4779295940764
1063,11.731797576454493
1064,11.832417284189546
1065,11.655838676622231
1066,9.343233941759808
1067,8.433939811516426
1068,8.208544545043045
1069,8.79778705914291
1070,9.365018385569359
1071,9.083106697630173
1072,9.188248571992325
1073,8.712061474112174
1074,8.256305792543507
1075,8.18969587359659
1076,6.207105528026241
1077,3.7562260795640676
1078,1.8069196890893218
1079,2.7518986872898137
1080,3.885426723807378
1081,3.842626903081786
1082,3.713806588247628
1083,2.7771563844213922
1084,1.759655268646929
1085,2.250901483767528
1086,4.077196760515016
1087,5.215054211067614
1088,5.727134302089311
1089,5.486789050617829
1090,4.178114782078625
1091,3.3146818245926566
1092,2.74046890933333
1093,2.8884905558400886
1094,3.4845261425305845
1095,3.933524511670294
1096,3.544205022808965
1097,3.585801171424125
1098,3.684700895900517
1099,3.7281853569580825
1100,3.9032032525971463
1101,4.108406467396131
1102,5.565003352240884
1103,6.304179667778681
1104,6.398077071373589
1105,5.822494760375665
1106,4.908592217785004
1107,5.005879660815825
1108,5.598894341331112
1109,5.909166603341166
1110,5.985615250906593
1111,6.073981103735305
1112,5.939060271798583
1113,6.032675789876773
1114,6.164693916372998
1115,6.603388357129527
1116,6.670147519746024
1117,7.188135537323238
1118,7.565701639784667
1119,7.415897584639757
1120,8.170622612925897
1121,8.494902560241533
1122,8.14143847617279
1123,8.611394077942045
1124,9.271433476527072
1125,9.693430653940869
1126,10.806783877597962
1127,11.58398156363127
1128,11.536411716854154
1129,11.339548026130357
1130,10.823212419140589
1131,10.658801336003965
1132,10.439258040202617
1133,10.353362250667608
1134,10.711441385806292
1135,10.872820890986018
1136,10.633228112299483
1137,10.433433091701282
1138,9.48543592106336
1139,11.232227918111624
1140,12.581694673345789
1141,12.92647173676718
1142,12.480636320579704
1143,11.73082345641596
1144,11.495708987482114
1145,11.626183669138072
1146,11.980579972467398
1147,12.12008338699477
1148,12.160964412349719
1149,12.461138397705708
1150,14.115445677622679
1151,14.232284716772792
1152,13.674873768354365
1153,13.29107885435238
1154,13.424583923973023
1155,13.606616375151544
1156,13.941605359263502
1157,13.466170737382333
1158,12.9468913272912
1159,12.352591045185727
1160,11.800795731959616
1161,11.129894299688292
1162,10.749123654003496
1163,10.210785652387539
1164,9.783378958687265
1165,8.661628023808348
1166,7.484633581954168
1167,6.587903095450524
1168,6.529581520447487
1169,6.4076199488781915
1170,6.326823382679018
1171,5.614638229906412
1172,4.786446620946881
1173,4.475402010098091
1174,4.382268555544996
1175,4.548059067194356
1176,4.4318662878217685
1177,4.087764734351025
1178,3.770349814399481
1179,3.4891764899104616
1180,2.9637743336225655
1181,3.0326806356236773
1182,3.234301866465858
1183,3.6370120865713256
1184,4.221832974496322
1185,3.6761049160313863
1186,3.0254763833185816
1187,3.1144438752309607
1188,3.42511904679432
1189,4.1972987409190035
1190,3.871769040870491
1191,3.5290821491174533
1192,3.3102152247909378
1193,3.016955892707001
1194,2.8285483851136104
1195,2.8950901806363425
1196,2.727014404424795
1197,2.6421955475582566
1198,1.4540285758958937
1199,1.5545155928491603
1200,1.461532535324909
1201,1.2486662090184264
1202,1.410607674166529
1203,1.6214917659981058
1204,1.8518799358937976
1205,2.110559126092581
1206,2.4306878153190796
1207,2.5133236069027913
1208,2.5558169731326257
1209,2.3168643325917677
1210,1.8481263751343981
1211,1.8954246762078324
1212,2.1225508760065654
1213,2.218433993544398
1214,2.6125281746450835
1215,3.135568358108734
1216,2.4241201675151416
1217,2.525688116718859
1218,3.591735438002197
1219,3.3699947914577257
1220,3.058823530994438
1221,2.843272729342489
1222,2.681404407599054
1223,2.115084918149362
1224,3.0980756365636775
1225,3.616913123862467
1226,3.579716486482067
1227,4.238330048112773
1228,5.167577875035388
1229,5.193530587583449
1230,5.755206178188169
1231,6.3804831939543405
1232,6.622418238349311
1233,7.003042705222963
1234,7.31489755699867
1235,7.58357192150197
1236,7.732800283682818
1237,7.498762658444967
1238,7.076946400267331
1239,7.005312151494828
1240,7.037139302296916
1241,7.322998183372408
1242,7.27062070680435
1243,7.124793295920866
1244,6.626904925083758
1245,5.940842659953467
1246,4.84670742918931
1247,4.250769579374013
1248,3.366238983567665
1249,2.684874218150364
1250,3.3974010763991243
1251,3.9951619980896425
1252,3.682866075691065
1253,3.0114045332134167
1254,2.423445475887109
1255,1.861290258226849
1256,1.6063410352037126
1257,1.1791971098655183
1258,0.41666905487690015
1259,1.0946263935608718
1260,2.460384885497723
1261,3.986894636922041
1262,4.790812534519657
1263,5.031685176947039
1264,5.259303733783565
1265,5.402014940678249
1266,5.40170043594211
1267,5.489885062283199
1268,5.294619338854456
1269,5.493066538989692
1270,6.050643614920797
1271,6.856894560945187
1272,6.59920737567683
1273,6.6585734430862535
1274,6.95834186352828
1275,7.266212348036483
1276,7.307216673375639
1277,7.120859649965523
1278,7.546090172535486
1279,7.404003404831247
1280,7.763810862986746
1281,7.755398630469328
1282,6.042538156225901
1283,7.113156104601604
1284,7.673544083549277
1285,8.196073427970862
1286,7.671338637697648
1287,7.348549953383837
1288,7.310851050347185
1289,7.048499801445756
1290,6.926847135590994
1291,6.617058172498627
1292,6.141565453398484
1293,6.154447255412128
1294,7.190245954760341
1295,7.5599232505344345
1296,7.853434537168026
1297,7.9218232652369265
1298,6.69373031867875
1299,6.3357103250653495
1300,6.806815307088298
1301,7.49653285267052
1302,7.772480107264721
1303,7.490958218037615
1304,7.389004486196124
1305,7.034021643695
1306,7.7783552341172735
1307,8.51405711052788
1308,8.719640496743116
1309,10.067789472906103
1310,11.415469027231175
1311,11.663471630889092
1312,11.22024764763783
1313,10.336983087837783
1314,9.180191775639498
1315,10.670093305616133
1316,15.001279307605532
1317,17.14861473829738
1318,17.284843601813424
1319,16.24741286242967
1320,15.374535894207005
1321,15.395155322228419
1322,15.589186099494697
1323,15.665411107336322
1324,15.365471053073652
1325,14.396944085847775
1326,13.539995361659308
1327,11.469225472756511
1328,8.528893739414867
1329,8.707373648152364
1330,7.654221622128277
1331,8.080084133637842
1332,9.009708762712727
1333,10.179061973674372
1334,11.803855502231398
1335,12.149290489561004
1336,10.633598830149632
1337,10.104663567051462
